category;title;link
blog;Wait But Why;https://waitbutwhy.com/
blog;Josh Comeau;https://www.joshwcomeau.com/
blog;Aphyr;https://aphyr.com/
blog;Ben Congdon;https://benjamincongdon.me/
blog;Betaveros;https://beta.vero.site/
book;Eliezer Yudkowsky – Harry Potter and the Methods of Rationality;https://www.hpmor.com/
book;Ted Chiang – Stories of Your Life and Others;https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others
book;Randall Munroe – What If;https://www.goodreads.com/book/show/21413662-what-if-serious-scientific-answers-to-absurd-hypothetical-questions
book;Tom Murphy VII – Name of Author by Title of Book;http://tom7.org/novel/
book;Jesper Juul – The Art of Failure: An Essay on the Pain of Playing Video Games;https://www.goodreads.com/book/show/15926280-the-art-of-failure
book;Derek Landy - Skulduggery Pleasant;https://www.goodreads.com/book/show/284440.Skulduggery_Pleasant
book;Mark Z. Danielewski – House of Leaves;https://www.goodreads.com/book/show/24800.House_of_Leaves
book;qntm – There Is No Antimemetics Divison;https://www.goodreads.com/en/book/show/54870256-there-is-no-antimemetics-division
comedy(?) special;Bo Burnham: Inside;https://www.imdb.com/title/tt14544192/
explorable explanation;The Evolution of Trust;https://ncase.me/trust/
game;Duck Game;https://store.steampowered.com/app/312530/Duck_Game/
game;Human Fall Flat;https://store.steampowered.com/app/477160/Human_Fall_Flat/
game;Her Story;https://store.steampowered.com/app/368370/Her_Story/
game;Katana Zero;https://store.steampowered.com/app/460950/Katana_ZERO/
game;Disco Elysium;https://store.steampowered.com/app/632470/Disco_Elysium/
game;Ape Out;https://store.steampowered.com/app/447150/APE_OUT/
game;Frog Fractions;https://store.steampowered.com/app/1194840/Frog_Fractions_Game_of_the_Decade_Edition/
game;Gris;https://store.steampowered.com/app/683320/GRIS/
game;Baba Is You;https://store.steampowered.com/app/736260/Baba_Is_You/
game;Getting Over It;https://store.steampowered.com/app/240720/Getting_Over_It_with_Bennett_Foddy/
game;Kind Words (lo fi chill beats to write to);https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/
game;Occupy White Walls;https://store.steampowered.com/app/876160/Occupy_White_Walls/
game;A Short Hike;https://store.steampowered.com/app/1055540/A_Short_Hike/
game;Before Your Eyes;https://store.steampowered.com/app/1082430/Before_Your_Eyes/
game;Grim Fandango;https://store.steampowered.com/app/316790/Grim_Fandango_Remastered/
game;Frog Fractions;https://store.steampowered.com/app/1194840/Frog_Fractions_Game_of_the_Decade_Edition/
magic show;Derek DelGaudio's In & Of Itself;https://www.imdb.com/title/tt11916302/
movie;La La Land;https://www.imdb.com/title/tt3783958/
movie;Parasite;https://www.imdb.com/title/tt6751668/
movie;Soul;https://www.imdb.com/title/tt2948372/
movie;The Fall;https://www.imdb.com/title/tt0460791/
movie;Jojo Rabbit;https://www.imdb.com/title/tt2584384/
movie;Paprika;https://www.imdb.com/title/tt0851578/
podcast;Reply All;https://gimletmedia.com/shows/reply-all
podcast;Hello Internet;http://www.hellointernet.fm/
podcast;Hamish & Andy;https://www.hamishandandy.com/
podcast;The Anthropocene Reviewed;https://www.wnycstudios.org/podcasts/anthropocene-reviewed
song;Jack Stauber – Buttercup;https://www.youtube.com/watch?v=e2qG5uwDCW4
song;Rob Cantor – Shia LaBeouf;https://www.youtube.com/watch?v=o0u4M6vppCI
song;Pig with the Face of a Boy – Complete History Of The Soviet Union, Arranged To The Melody Of Tetris;https://www.youtube.com/watch?v=hWTFG3J1CP8
song;Benjamin Clementine – Winston Churchill's Boy;https://www.youtube.com/watch?v=rcrjHo6AAak
song;Tom Lehrer – The Masochism Tango;https://www.youtube.com/watch?v=TytGOeiW0aE
song;Bo Burnham – From God's Perspective;https://www.youtube.com/watch?v=Zxc20saM8DA
song;Tamino – Indigo Night;https://www.youtube.com/watch?v=3wVTmlD86a8
song;Jazz Music Korea – Autumn Leaves;https://www.youtube.com/watch?v=TWsOERt6Gxw
TV show;The Newsroom;https://www.imdb.com/title/tt1870479/
TV show;Narcos;https://www.imdb.com/title/tt2707408/
TV show;Fleabag;https://www.imdb.com/title/tt5687612/
TV show;Peaky Blinders;https://www.imdb.com/title/tt2442560/
TV show;The Good Place;https://www.imdb.com/title/tt4955642/
TV show;Ozark;https://www.imdb.com/title/tt5071412/
TV show;Love, Death & Robots;https://www.imdb.com/title/tt9561862/
TV show;Fargo;https://www.imdb.com/title/tt2802850/
YouTube channel;Philosophy Tube;https://www.youtube.com/channel/UC2PA-AKmVpU6NKCGtZq_rKQ
YouTube channel;LeMMiNO;https://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q
YouTube channel;Jacob Geller;https://www.youtube.com/channel/UCeTfBygNb1TahcNpZyELO8g
YouTube channel;Leo Vader;https://www.youtube.com/channel/UCDT-KKAV1iTIoD1j7AZKkYw
YouTube channel;CGP Grey;https://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w
YouTube channel;Pop Culture Detective;https://www.youtube.com/channel/UCHiwtz2tCEfS17N9A-WoSSw
YouTube channel;People Make Games;https://www.youtube.com/channel/UCZB6V9fUov0Mx_us3MWWILg
YouTube channel;Brian David Gilbert;https://www.youtube.com/channel/UCakAg8hC_RFJm4RI3DlD7SA
YouTube channel;Innuendo Studios;https://www.youtube.com/channel/UC5fdssPqmmGhkhsJi4VcckA
YouTube channel;Girlfriend Reviews;https://www.youtube.com/channel/UC2eEGT06FrWFU6VBnPOR9lg
YouTube channel;Chris & Jack;https://www.youtube.com/channel/UC3Liv5-jdU2Qk53lTtYDG2w
